,Relaci�n Compra Alquiler,departamento,a�o,valor
160,Compra,Lavalleja,2010,8.8
161,Compra,Maldonado,2010,11.6
162,Compra,Paysandu,2010,7.1
163,Compra,Rio Negro,2010,7.4
164,Compra,Rivera,2010,7.0
165,Compra,Rocha,2010,8.4
166,Compra,Salto,2010,8.1
167,Compra,San Jos�,2010,8.5
168,Compra,Soriano,2010,8.2
169,Compra,Tacuaremb�,2010,9.9
170,Compra,Treinta y Tres,2010,9.3
171,Alquiler,Montevideo,2010,20.9
172,Alquiler,Artigas,2010,25.7
173,Alquiler,Canelones,2010,16.1
174,Alquiler,Cerro Largo,2010,15.2
175,Alquiler,Colonia,2010,15.7
176,Alquiler,Durazno,2010,15.2
177,Alquiler,Flores,2010,15.3
178,Alquiler,Florida,2010,17.1
179,Alquiler,Lavalleja,2010,13.8
180,Alquiler,Maldonado,2010,19.3
181,Alquiler,Paysandu,2010,17.5
182,Alquiler,Rio Negro,2010,15.3
183,Alquiler,Rivera,2010,13.7
184,Alquiler,Rocha,2010,14.1
185,Alquiler,Salto,2010,16.5
186,Alquiler,San Jos�,2010,16.0
187,Alquiler,Soriano,2010,16.0
188,Alquiler,Tacuaremb�,2010,16.1
189,Alquiler,Treinta y Tres,2010,14.3
190,Compra,Montevideo,2011,14.1
191,Compra,Artigas,2011,6.8
192,Compra,Canelones,2011,12.4
193,Compra,Cerro Largo,2011,9.9
194,Compra,Colonia,2011,12.6
195,Compra,Durazno,2011,8.2
196,Compra,Flores,2011,10.2
197,Compra,Florida,2011,8.1
198,Compra,Lavalleja,2011,12.8
199,Compra,Maldonado,2011,11.1
200,Compra,Paysandu,2011,9.9
201,Compra,Rio Negro,2011,10.2
202,Compra,Rivera,2011,10.4
203,Compra,Rocha,2011,9.3
204,Compra,Salto,2011,11.1
205,Compra,San Jos�,2011,11.6
206,Compra,Soriano,2011,7.9
207,Compra,Tacuaremb�,2011,10.2
208,Compra,Treinta y Tres,2011,9.7
209,Alquiler,Montevideo,2011,21.4
210,Alquiler,Artigas,2011,15.2
211,Alquiler,Canelones,2011,16.5
212,Alquiler,Cerro Largo,2011,16.3
213,Alquiler,Colonia,2011,17.1
214,Alquiler,Durazno,2011,15.7
215,Alquiler,Flores,2011,16.3
216,Alquiler,Florida,2011,16.1
217,Alquiler,Lavalleja,2011,17.0
218,Alquiler,Maldonado,2011,19.5
219,Alquiler,Paysandu,2011,17.9
220,Alquiler,Rio Negro,2011,15.8
221,Alquiler,Rivera,2011,16.2
222,Alquiler,Rocha,2011,13.9
223,Alquiler,Salto,2011,18.3
224,Alquiler,San Jos�,2011,15.4
225,Alquiler,Soriano,2011,17.2
226,Alquiler,Tacuaremb�,2011,19.0
227,Alquiler,Treinta y Tres,2011,14.5
228,Compra,Montevideo,2012,13.5
229,Compra,Artigas,2012,8.1
230,Compra,Canelones,2012,13.1
231,Compra,Cerro Largo,2012,8.8
232,Compra,Colonia,2012,10.9
233,Compra,Durazno,2012,7.9
234,Compra,Flores,2012,11.3
235,Compra,Florida,2012,8.8
236,Compra,Lavalleja,2012,11.8
237,Compra,Maldonado,2012,11.4
238,Compra,Paysandu,2012,10.4
239,Compra,Rio Negro,2012,7.7
240,Compra,Rivera,2012,9.5
241,Compra,Rocha,2012,9.4
242,Compra,Salto,2012,10.9
243,Compra,San Jos�,2012,9.8
244,Compra,Soriano,2012,10.9
245,Compra,Tacuaremb�,2012,9.2
246,Compra,Treinta y Tres,2012,13.1
247,Alquiler,Montevideo,2012,21.5
248,Alquiler,Artigas,2012,16.1
249,Alquiler,Canelones,2012,17.7
250,Alquiler,Cerro Largo,2012,17.3
251,Alquiler,Colonia,2012,19.0
252,Alquiler,Durazno,2012,20.2
253,Alquiler,Flores,2012,18.2
254,Alquiler,Florida,2012,18.4
