UserID,Gender
tw-178770920,Male
tw-3038480291,Unisex
tw-241789394,Male
tw-907079437,Female
tw-1969161649,Male
tw-1063780136,Female
tw-700934110768922624,Male
tw-1141498944,Female
tw-454299147,Female
tw-378778481,Unknown
tw-158587785,Male
tw-4460666656,Female
tw-2161140517,Female
tw-8961122,Unisex
tw-4433309849,Unknown
tw-926457097,Unisex
tw-148914440,Male
tw-2764507012,Female
tw-366141931,Male
tw-2444596871,Female
tw-213801346,Unknown
tw-3386568525,Female
tw-83978758,Male
tw-121148338,Male
tw-4657352182,Male
tw-110261347,Male
tw-2790751129,Female
tw-1393748101,Unisex
tw-409215215,Female
tw-2523731125,Unknown
tw-148299287,Male
tw-296795498,Male
tw-15092087,Male
tw-1667078966,Male
tw-1666383920,Female
tw-1666383878,Male
tw-140155521,Female
tw-1860797436,Male
tw-3129267196,Unknown
tw-2431147689,Male
tw-553123807,Unisex
tw-18996060,Male
tw-855716875,Unknown
tw-46689518,Male
tw-1970311616,Female
tw-1267922676,Female
tw-202739320,Unknown
tw-36589509,Male
tw-81187969,Male
tw-36356670,Unknown
tw-3054675842,Unknown
tw-4871222140,Female
tw-190697853,Male
tw-408260889,Unknown
tw-1971187819,Male
tw-3187804407,Unknown
tw-4697907733,Unknown
tw-2910069159,Unknown
tw-3834608363,Unknown
tw-4412505022,Female
tw-4474468042,Female
tw-3433924655,Female
tw-1323285805,Male
tw-298791820,Male
tw-243022972,Unknown
tw-1873933284,Male
tw-2976512553,Male
tw-3415042634,Female
tw-149360037,Male
tw-4791723375,Male
tw-522509433,Unknown
tw-863655600,Female
tw-3418434369,Male
tw-611302194,Female
tw-2887154974,Unknown
tw-701223350895558656,Unisex
tw-83873796,Male
tw-4454068276,Unisex
tw-3653053395,Unknown
tw-95174521,Unknown
tw-3019370674,Unknown
tw-4108030931,Female
tw-3658467377,Male
tw-30932255,Unisex
tw-2977544656,Female
tw-264923933,Male
tw-1559057640,Male
tw-1120611,Male
tw-702164680140320768,Unisex
tw-4675606778,Female
tw-3264704577,Female
tw-718241151812284416,Female
tw-3064882221,Female
tw-442969648,Unknown
tw-713611081994919936,Female
tw-719574881348820992,Female
tw-703962170917150720,Male
tw-4065772636,Unknown
tw-13656342,Male
tw-73491636,Male
tw-725567558217269249,Male
tw-476388649,Unknown
tw-13175892,Male
tw-453965252,Male
tw-40687192,Male
tw-330428657,Male
tw-282733446,Male
tw-240865775,Male
tw-3420547277,Unknown
tw-28646516,Male
tw-184603296,Male
tw-571067587,Unisex
tw-189166907,Male
tw-4548439293,Male
tw-1895431394,Unknown
tw-1971015036,Male
tw-1970705742,Male
tw-56244671,Male
tw-1971072012,Male
tw-1970518729,Unknown
tw-1970520860,Female
tw-394869102,Male
tw-4444238663,Female
tw-329873167,Unknown
tw-4330859121,Male
tw-4836593332,Unknown
tw-165518703,Unknown
tw-172959149,Unknown
tw-15678854,Male
tw-122798917,Unisex
tw-14739291,Unisex
tw-899344002,Male
tw-28119502,Female
tw-12187042,Male
tw-701327193411088385,Female
tw-3828956596,Female
tw-484378462,Male
tw-2413552573,Female
tw-2179429297,Unknown
tw-188405911,Male
tw-91380580,Male
tw-3421235692,Unisex
tw-170766457,Male
tw-285892188,Male
tw-124278180,Male
tw-1970909785,Female
tw-268413097,Unknown
tw-93564152,Unknown
tw-165837320,Male
tw-278311768,Male
tw-101175917,Male
tw-2650753378,Male
tw-1969057148,Unknown
tw-1970729016,Unknown
tw-54211799,Male
tw-320486559,Unknown
tw-7766612,Unknown
tw-3440881097,Unknown
tw-3295594047,Female
tw-13055572,Male
tw-48023,Unisex
tw-710236874,Female
tw-274036118,Female
tw-209598214,Male
tw-2753987451,Female
tw-1886980224,Unknown
tw-4615525581,Female
tw-3901390697,Unknown
tw-3439339665,Female
tw-14462803,Unknown
tw-221176293,Female
tw-2345938489,Unknown
tw-356278812,Male
tw-275157316,Unknown
tw-393862677,Male
tw-104695438,Unknown
tw-101716347,Male
tw-2845867428,Female
tw-175465316,Male
tw-2981608481,Male
tw-139737609,Unknown
tw-709435912837529600,Female
tw-3875718616,Male
tw-50653645,Male
tw-2887064375,Unisex
tw-184225235,Unknown
tw-1177839500,Female
tw-9376572,Male
tw-329849007,Female
tw-884862662,Male
tw-230771468,Female
tw-2195848120,Female
tw-2731581496,Female
tw-1514178774,Male
tw-1970540743,Unknown
tw-1970733073,Male
tw-213085472,Unisex
tw-136123200,Male
tw-1971140226,Unknown
tw-3390398213,Male
tw-14980436,Male
tw-2266598024,Unisex
tw-17708496,Male
tw-1969110206,Female
tw-1970819815,Female
tw-1971122089,Unknown
tw-1970993138,Unknown
tw-1970695837,Male
tw-1971272192,Unisex
tw-1970376967,Female
tw-1970406685,Unknown
tw-2262119468,Male
tw-151926302,Unknown
tw-3264503685,Female
tw-3206614222,Female
tw-78201166,Unknown
tw-2841235198,Male
tw-703228598627475460,Male
tw-102827525,Male
tw-52521034,Male
tw-3388346962,Unknown
tw-139756971,Unisex
tw-590170595,Unknown
tw-1562193716,Unknown
tw-3139043391,Male
tw-89771242,Male
tw-86379141,Male
tw-601503349,Unknown
tw-1970311886,Female
tw-53544498,Male
tw-3240394043,Male
tw-128925162,Male
tw-3050100514,Male
tw-120486519,Male
tw-3305778459,Unisex
tw-4111101945,Female
tw-3786219077,Unknown
tw-2370768973,Male
tw-3078628721,Unknown
tw-2988954328,Female
tw-4765137748,Female
tw-983364786,Male
tw-3071424809,Female
tw-140150313,Male
tw-154618075,Male
tw-14248709,Male
tw-696781309092438017,Male
tw-213108002,Male
tw-65911938,Unisex
tw-1971268638,Unknown
tw-616377173,Female
tw-31854805,Female
tw-76159017,Male
tw-88901042,Female
tw-716650518282641408,Unisex
tw-13727002,Male
tw-374756159,Male
tw-212751713,Male
tw-1674527785,Unknown
tw-4632564195,Female
tw-3505198936,Unknown
tw-1968206150,Female
tw-2340581,Male
tw-55468409,Male
tw-48790193,Female
tw-17339327,Male
tw-7712092,Unisex
tw-36813019,Male
tw-2958538619,Female
tw-4831013223,Unisex
tw-2903671144,Male
tw-41691091,Male
tw-69587059,Male
tw-902779112,Unknown
tw-156773305,Unknown
tw-728370753586991105,Male
tw-720425856263294980,Unknown
tw-141046391,Male
tw-3327218919,Unknown
tw-33152437,Male
tw-3214062972,Female
tw-14997220,Unisex
tw-154220176,Male
tw-2518623895,Unknown
tw-1317430328,Unknown
tw-208207710,Male
tw-7849852,Female
tw-71063592,Male
tw-4388257173,Female
tw-1896253616,Female
tw-4779332116,Unknown
tw-499985745,Male
tw-1319582028,Female
tw-1699872038,Female
tw-153661250,Female
tw-52532527,Unknown
tw-129588779,Female
tw-2388555646,Unknown
tw-16984679,Unknown
tw-282249379,Male
