indice_tiempo,medio_de_transporte,pais_destino,turistas_residentes
2016-05,Terrestre,Uruguay,25707.2
2016-05,Terrestre,EE.UU. y Canadá,14.2
2016-05,Terrestre,Resto de América,185.9
2016-05,Terrestre,Europa,26.4
2016-05,Terrestre,Resto del mundo,11.9
2016-05,Fluvial/Marítima,Bolivia,7407
2016-05,Fluvial/Marítima,Brasil,6971.6
2016-05,Fluvial/Marítima,Chile,41.6
2016-05,Fluvial/Marítima,Paraguay,8086.6
2016-05,Fluvial/Marítima,Uruguay,26017.8
2016-05,Fluvial/Marítima,EE.UU. y Canadá,140.5
2016-05,Fluvial/Marítima,Resto de América,342.8
2016-05,Fluvial/Marítima,Europa,107.8
2016-05,Fluvial/Marítima,Resto del mundo,14.3
2016-06,Aérea,Bolivia,2363.3
2016-06,Aérea,Brasil,41416.8
2016-06,Aérea,Chile,30063.1
2016-06,Aérea,Paraguay,3467.9
2016-06,Aérea,Uruguay,5570.3
2016-06,Aérea,EE.UU. y Canadá,73990.7
2016-06,Aérea,Resto de América,61438.5
2016-06,Aérea,Europa,78530.4
2016-06,Aérea,Resto del mundo,9357.1
2016-06,Terrestre,Bolivia,28099.5
2016-06,Terrestre,Brasil,39121.1
2016-06,Terrestre,Chile,63002.7
2016-06,Terrestre,Paraguay,74236.8
2016-06,Terrestre,Uruguay,31486.1
2016-06,Terrestre,EE.UU. y Canadá,61.6
2016-06,Terrestre,Resto de América,808.6
2016-06,Terrestre,Europa,114.7
2016-06,Terrestre,Resto del mundo,51.6
2016-06,Fluvial/Marítima,Bolivia,8964
2016-06,Fluvial/Marítima,Brasil,4689.9
2016-06,Fluvial/Marítima,Chile,31.7
2016-06,Fluvial/Marítima,Paraguay,8875.2
2016-06,Fluvial/Marítima,Uruguay,26407.4
2016-06,Fluvial/Marítima,EE.UU. y Canadá,124.3
2016-06,Fluvial/Marítima,Resto de América,336.6
2016-06,Fluvial/Marítima,Europa,158.2
2016-06,Fluvial/Marítima,Resto del mundo,12.7
2016-07,Aérea,Bolivia,3705.1
2016-07,Aérea,Brasil,57133.8
2016-07,Aérea,Chile,44220.7
2016-07,Aérea,Paraguay,3168.2
2016-07,Aérea,Uruguay,4616.4
2016-07,Aérea,EE.UU. y Canadá,65783.1
2016-07,Aérea,Resto de América,66117.1
2016-07,Aérea,Europa,74376
2016-07,Aérea,Resto del mundo,9438.4
2016-07,Terrestre,Bolivia,47167.9
2016-07,Terrestre,Brasil,106314.8
2016-07,Terrestre,Chile,127320.6
2016-07,Terrestre,Paraguay,112766.5
2016-07,Terrestre,Uruguay,53312.1
2016-07,Terrestre,EE.UU. y Canadá,315.7
2016-07,Terrestre,Resto de América,1286
2016-07,Terrestre,Europa,182.5
2016-07,Terrestre,Resto del mundo,82.1
2016-07,Fluvial/Marítima,Bolivia,10536
2016-07,Fluvial/Marítima,Brasil,8397.4
2016-07,Fluvial/Marítima,Chile,67.1
2016-07,Fluvial/Marítima,Paraguay,13564.2
2016-07,Fluvial/Marítima,Uruguay,35164.7
2016-07,Fluvial/Marítima,EE.UU. y Canadá,940.3
2016-07,Fluvial/Marítima,Resto de América,1325
2016-07,Fluvial/Marítima,Europa,878.8
2016-07,Fluvial/Marítima,Resto del mundo,90.6
2016-08,Aérea,Bolivia,3877.6
2016-08,Aérea,Brasil,50646.8
2016-08,Aérea,Chile,36213.3
2016-08,Aérea,Paraguay,3604.3
2016-08,Aérea,Uruguay,5652.8
2016-08,Aérea,EE.UU. y Canadá,76654.1
2016-08,Aérea,Resto de América,62270
2016-08,Aérea,Europa,73186.6
2016-08,Aérea,Resto del mundo,13228.4
2016-08,Terrestre,Bolivia,39846.1
2016-08,Terrestre,Brasil,50475.5
2016-08,Terrestre,Chile,98873.6
2016-08,Terrestre,Paraguay,76798.1
2016-08,Terrestre,Uruguay,35778.6
2016-08,Terrestre,EE.UU. y Canadá,160.5
2016-08,Terrestre,Resto de América,851.5
2016-08,Terrestre,Europa,120.8
2016-08,Terrestre,Resto del mundo,54.3
2016-08,Fluvial/Marítima,Bolivia,7621
2016-08,Fluvial/Marítima,Brasil,4950.9
2016-08,Fluvial/Marítima,Chile,42.9
2016-08,Fluvial/Marítima,Paraguay,8830.8
